tweet_id,favorites,retweets,timestamp
849776966551130114,27782,6780,Thu Apr 06 00:13:11 +0000 2017
849668094696017920,0,4420,Wed Apr 05 17:00:34 +0000 2017
849412302885593088,14593,2812,Wed Apr 05 00:04:08 +0000 2017
849336543269576704,10500,1676,Tue Apr 04 19:03:06 +0000 2017
849051919805034497,38788,7582,Tue Apr 04 00:12:06 +0000 2017
848690551926992896,23143,3904,Mon Apr 03 00:16:10 +0000 2017
848324959059550208,22705,4124,Sun Apr 02 00:03:26 +0000 2017
848213670039564288,7512,644,Sat Apr 01 16:41:12 +0000 2017
848212111729840128,14965,2704,Sat Apr 01 16:35:01 +0000 2017
847978865427394560,0,2905,Sat Apr 01 01:08:10 +0000 2017
847971574464610304,0,394,Sat Apr 01 00:39:12 +0000 2017
847962785489326080,21646,4544,Sat Apr 01 00:04:17 +0000 2017
847842811428974592,4989,1184,Fri Mar 31 16:07:33 +0000 2017
847617282490613760,6445,376,Fri Mar 31 01:11:22 +0000 2017
847606175596138505,17275,3066,Fri Mar 31 00:27:14 +0000 2017
847251039262605312,18859,3890,Thu Mar 30 00:56:03 +0000 2017
847157206088847362,18279,5224,Wed Mar 29 18:43:12 +0000 2017
847116187444137987,19790,2864,Wed Mar 29 16:00:12 +0000 2017
846874817362120707,18529,3531,Wed Mar 29 00:01:05 +0000 2017
846514051647705089,40949,10315,Tue Mar 28 00:07:32 +0000 2017
846505985330044928,13011,2747,Mon Mar 27 23:35:28 +0000 2017
846153765933735936,28916,8121,Mon Mar 27 00:15:53 +0000 2017
846139713627017216,28663,9122,Sun Mar 26 23:20:02 +0000 2017
846042936437604353,14728,2574,Sun Mar 26 16:55:29 +0000 2017
845812042753855489,26870,7830,Sun Mar 26 01:38:00 +0000 2017
845677943972139009,23306,4363,Sat Mar 25 16:45:08 +0000 2017
845397057150107648,7042,1612,Fri Mar 24 22:08:59 +0000 2017
845306882940190720,21501,4828,Fri Mar 24 16:10:40 +0000 2017
845098359547420673,0,6901,Fri Mar 24 02:22:04 +0000 2017
844979544864018432,12608,2303,Thu Mar 23 18:29:57 +0000 2017
844973813909606400,13858,2834,Thu Mar 23 18:07:10 +0000 2017
844580511645339650,15216,2800,Wed Mar 22 16:04:20 +0000 2017
844223788422217728,12647,1979,Tue Mar 21 16:26:50 +0000 2017
843981021012017153,14040,2689,Tue Mar 21 00:22:10 +0000 2017
843856843873095681,19857,4145,Mon Mar 20 16:08:44 +0000 2017
843604394117681152,15616,2469,Sun Mar 19 23:25:35 +0000 2017
843235543001513987,19862,5370,Sat Mar 18 22:59:54 +0000 2017
842846295480000512,14150,3303,Fri Mar 17 21:13:10 +0000 2017
842765311967449089,6268,1173,Fri Mar 17 15:51:22 +0000 2017
842535590457499648,16832,3158,Fri Mar 17 00:38:32 +0000 2017
842163532590374912,22612,5229,Thu Mar 16 00:00:07 +0000 2017
842115215311396866,12967,2741,Wed Mar 15 20:48:07 +0000 2017
841833993020538882,0,13486,Wed Mar 15 02:10:39 +0000 2017
841680585030541313,23918,7114,Tue Mar 14 16:01:03 +0000 2017
841439858740625411,11664,3294,Tue Mar 14 00:04:30 +0000 2017
841320156043304961,18326,4996,Mon Mar 13 16:08:50 +0000 2017
841314665196081154,14667,4210,Mon Mar 13 15:47:01 +0000 2017
841077006473256960,21247,4869,Mon Mar 13 00:02:39 +0000 2017
